"vehicle_number","make","type1","state","gvw","location","service_type","tank_capacity","relay_device_num","flush_amt_gals","amt_per_gals","meters","comp1","comp2","comp3","comp4","total","product_type","notes","lat","lon"
"1071","Kenworth","Bobtail","NY","33000","Arcade","Propane Bobtail",3499,"6001014231",NULL,NULL,1,3499,NULL,NULL,NULL,3499,"Propane",NULL,42.5335122,-78.4327868
"1069","Kenworth","Tank Wagon - 6 Wheeler","NY","33000","Arcade","Oil Tankwagon",2800,"6001014255","27","($0,27)",2,1100,700,600,400,2800,NULL,NULL,42.5335122,-78.4327868
"1044","Kenworth","Bobtail","NY","33000","Arcade","Propane Bobtail",3499,"4863051679",NULL,NULL,1,3499,NULL,NULL,NULL,3499,"Propane",NULL,42.5335122,-78.4327868
"1009","Ford","Bobtail","NY","19500","Arcade","Propane Bobtail",1000,"4674724142",NULL,NULL,1,1000,NULL,NULL,NULL,1000,"Propane",NULL,42.5335122,-78.4327868
"1006","Kenworth","Bobtail","NY","33000","Arcade","Propane Bobtail",3000,"4674640915",NULL,NULL,1,3000,NULL,NULL,NULL,3000,"Propane",NULL,42.5335122,-78.4327868
"988","Peterbilt","Tank Wagon - 10 Wheeler","NY","60000","Arcade","Oil Tankwagon",4500,"4674593003","27","($0,27)",2,1500,1200,1000,800,4500,NULL,NULL,42.5335122,-78.4327868
"937","Ford","Tank Wagon - 6 Wheeler","NY","19500","Arcade","Oil Tankwagon",1200,"4674721886","27","($0,27)",1,800,400,NULL,NULL,1200,NULL,NULL,42.5335122,-78.4327868
"930","Peterbilt","Bobtail","NY","33000","Arcade","Propane Bobtail",3400,"4674641240",NULL,NULL,1,3400,NULL,NULL,NULL,3400,"Propane",NULL,42.5335122,-78.4327868
"909","Peterbilt","Tank Wagon - 10 Wheeler","NY","60000","Arcade","Oil Tankwagon",4400,"4674986798","27","($0,27)",2,1500,1100,1000,800,4400,NULL,NULL,42.5335122,-78.4327868
"887","Peterbuilt","Tank Wagon - 10 Wheeler","NY","60000","Arcade","Oil Tankwagon",4500,"4674644240","27","($0,27)",2,1500,1200,1000,800,4500,NULL,NULL,42.5335122,-78.4327868
"1073","Kenworth","Bobtail","NY","33000","Rochester","Propane Bobtail",3499,"6001014070",NULL,NULL,1,3499,NULL,NULL,NULL,3499,"Propane",NULL,43.2268339,-77.6452229
"1067","Kenworth","Tank Wagon - 6 Wheeler","NY","33000","Rochester","Oil Tankwagon",2800,"4674638267","27","($0,27)",1,1000,600,700,500,2800,NULL,NULL,43.2268339,-77.6452229
"1063","Peterbilt","Tank Wagon - 10 Wheeler","NY","60000","Rochester","Oil Tankwagon",4250,"4674934034","27","($0,27)",1,1000,1750,2000,NULL,4750,NULL,NULL,43.2268339,-77.6452229
"1042","Ford","Tank Wagon - 6 Wheeler","NY","19500","Rochester","Oil Tankwagon",1200,"4674721890","27","($0,27)",1,800,400,NULL,NULL,1200,NULL,NULL,43.2268339,-77.6452229
"1035","Peterbuilt","Tank Wagon - 10 Wheeler","NY","60000","Rochester","Oil Tankwagon",4400,"6001024713","27","($0,27)",2,1500,1100,1000,800,4400,NULL,NULL,43.2268339,-77.6452229
"1015","Peterbilt","Tank Wagon - 10 Wheeler","NY","60000","Rochester","Oil Tankwagon",4400,"4674642755","27","($0,27)",2,1500,1100,1000,800,4400,NULL,NULL,43.2268339,-77.6452229
"1008","Kenworth","Bobtail","NY","33000","Rochester","Propane Bobtail",3499,"4674642278",NULL,NULL,1,3499,NULL,NULL,NULL,3499,"Propane",NULL,43.2268339,-77.6452229
"1007","Kenworth","Bobtail","NY","33000","Rochester","Propane Bobtail",3499,"4674627454",NULL,NULL,1,3499,NULL,NULL,NULL,3499,"Propane",NULL,43.2268339,-77.6452229
"1002","Kenworth","Tank Wagon - 6 Wheeler","NY","33000","Rochester","Oil Tankwagon",2800,"4674643630","27","($0,27)",2,1000,600,700,500,2800,NULL,NULL,43.2268339,-77.6452229
"996","Peterbilt","Tank Wagon - 10 Wheeler","NY","60000","Rochester","Oil Tankwagon",4450,"4674580267","27","($0,27)",2,2000,1700,750,NULL,4450,NULL,NULL,43.2268339,-77.6452229
"995","Peterbilt","Tank Wagon - 10 Wheeler","NY","60000","Rochester","Oil Tankwagon",4400,"4674643102","27","($0,27)",2,1500,1100,1000,800,4400,NULL,NULL,43.2268339,-77.6452229
"959","Kenworth","Tank Wagon - 6 Wheeler","NY","33000","Rochester","Oil Tankwagon",2800,"4674642574","27","($0,27)",1,2000,800,NULL,NULL,2800,NULL,NULL,43.2268339,-77.6452229
"938","Kenworth","Tank Wagon - 6 Wheeler","NY","33000","Rochester","Oil Tankwagon",2725,"4674644063","27","($0,27)",1,625,1000,1100,NULL,2725,NULL,NULL,43.2268339,-77.6452229
"933","Kenworth","Bobtail","NY","33000","Rochester","Propane Bobtail",3499,"4674641331",NULL,NULL,1,3499,NULL,NULL,NULL,3499,"Propane",NULL,43.2268339,-77.6452229
"932","Kenworth","Bobtail","NY","33000","Rochester","Propane Bobtail",3499,"4674644189",NULL,NULL,1,3499,NULL,NULL,NULL,3499,"Propane",NULL,43.2268339,-77.6452229
"915","Kenworth","Bobtail","NY","33000","Rochester","Propane Bobtail",3499,"6001024975",NULL,NULL,1,3499,NULL,NULL,NULL,3499,"Propane",NULL,43.2268339,-77.6452229
"914","Kenworth","Bobtail","NY","33000","Rochester","Propane Bobtail",3499,"6001025255",NULL,NULL,1,3499,NULL,NULL,NULL,3499,"Propane",NULL,43.2268339,-77.6452229
"911","Peterbilt","Tank Wagon - 10 Wheeler","NY","60000","Rochester","Oil Tankwagon",4400,"6001025070","27","($0,27)",1,1500,1100,1000,800,4400,NULL,NULL,43.2268339,-77.6452229
"889","Peterbilt","Tank Wagon - 10 Wheeler","NY","60000","Rochester","Oil Tankwagon",4400,"6001024753","27","($0,27)",2,2000,1000,800,600,4400,NULL,NULL,43.2268339,-77.6452229
